지점,지점명,일시,10CM 일 토양수분(%),평균 기온(°C),평균 지면온도(°C),일 순복사(MJ/m2),위도,경도,평균 습도(%),평균 풍속(m/s)
980,강정,2013-07-10,24.0,25.8,32.2,,33.25992,126.48917,85.33333333333333,1.65
980,강정,2013-07-11,23.0,26.3,35.4,,33.25992,126.48917,79.66666666666667,1.4500000000000002
980,강정,2013-07-12,20.0,27.0,35.5,,33.25992,126.48917,83.66666666666667,1.15
980,강정,2013-07-13,18.0,27.7,36.8,,33.25992,126.48917,85.33333333333333,1.8
980,강정,2013-07-14,16.0,26.7,32.5,,33.25992,126.48917,91.33333333333331,1.5499999999999998
980,강정,2013-07-15,15.0,26.3,32.9,,33.25992,126.48917,88.33333333333333,1.3
980,강정,2015-07-12,25.0,23.0,,0.47,33.25992,126.48917,100.0,3.5
980,강정,2015-07-13,23.0,23.4,,13.58,33.25992,126.48917,96.66666666666669,1.65
980,강정,2015-07-14,22.0,24.5,,19.7,33.25992,126.48917,90.33333333333331,0.9
980,강정,2015-07-15,21.0,24.3,,21.08,33.25992,126.48917,89.33333333333333,1.15
980,강정,2015-07-16,19.0,25.1,,20.23,33.25992,126.48917,78.33333333333333,1.9
980,강정,2015-07-17,18.0,22.9,,15.36,33.25992,126.48917,90.66666666666669,0.9
980,강정,2015-07-18,17.0,23.5,,19.41,33.25992,126.48917,83.0,1.5
980,강정,2015-07-19,16.0,26.3,,21.06,33.25992,126.48917,89.0,1.9
980,강정,2015-07-20,15.0,25.7,,11.35,33.25992,126.48917,93.66666666666669,1.4
980,강정,2016-07-13,25.0,26.3,26.5,9.4,33.25992,126.48917,99.66666666666669,1.65
980,강정,2016-07-14,24.0,26.0,28.8,21.25,33.25992,126.48917,90.33333333333331,0.75
980,강정,2016-07-15,23.0,24.5,25.9,13.01,33.25992,126.48917,90.66666666666669,1.85
980,강정,2016-07-16,22.0,25.8,26.7,13.71,33.25992,126.48917,90.33333333333331,1.6
980,강정,2016-07-17,22.0,24.6,26.5,16.49,33.25992,126.48917,86.0,0.8500000000000001
980,강정,2016-07-18,21.0,24.9,25.6,10.59,33.25992,126.48917,88.66666666666667,0.8
980,강정,2016-07-19,21.0,26.8,27.5,16.25,33.25992,126.48917,89.66666666666667,1.35
980,강정,2016-07-20,20.0,26.7,28.4,19.89,33.25992,126.48917,89.66666666666667,1.95
980,강정,2016-07-21,19.0,26.7,29.2,8.36,33.25992,126.48917,91.66666666666669,1.7
980,강정,2016-07-22,19.0,26.7,27.8,10.74,33.25992,126.48917,93.0,1.4
980,강정,2016-07-23,18.0,27.6,31.9,21.56,33.25992,126.48917,91.0,1.3
980,강정,2016-07-24,18.0,28.2,33.2,20.92,33.25992,126.48917,86.33333333333333,1.15
980,강정,2016-07-25,16.0,28.2,32.8,19.14,33.25992,126.48917,85.33333333333333,1.25
980,강정,2016-07-26,22.0,28.8,32.2,21.0,33.25992,126.48917,89.0,0.95
980,강정,2016-07-27,21.0,29.1,32.3,17.02,33.25992,126.48917,90.33333333333331,1.0499999999999998
980,강정,2016-07-28,21.0,28.2,29.6,8.78,33.25992,126.48917,92.33333333333331,0.95
980,강정,2016-07-29,20.0,29.1,31.7,20.2,33.25992,126.48917,86.33333333333333,1.05
980,강정,2016-07-30,19.0,28.6,32.1,21.59,33.25992,126.48917,85.0,1.25
980,강정,2016-07-31,18.0,28.0,30.7,19.2,33.25992,126.48917,83.66666666666667,1.05
980,강정,2016-08-01,17.0,28.1,31.4,21.06,33.25992,126.48917,80.33333333333333,1.25
980,강정,2016-08-02,16.0,27.3,29.8,13.71,33.25992,126.48917,87.0,1.15
980,강정,2016-08-03,15.0,26.3,27.8,6.68,33.25992,126.48917,92.66666666666669,0.75
980,강정,2017-04-17,26.0,17.2,16.6,2.4,33.25992,126.48917,86.33333333333333,2.1
980,강정,2017-04-18,23.0,15.0,16.4,12.16,33.25992,126.48917,66.33333333333333,2.45
980,강정,2017-04-19,23.0,14.9,15.9,21.54,33.25992,126.48917,39.0,1.75
980,강정,2017-04-20,22.0,14.4,14.4,4.49,33.25992,126.48917,69.33333333333333,1.05
980,강정,2017-04-21,22.0,14.7,16.4,4.29,33.25992,126.48917,89.66666666666667,0.65
980,강정,2017-04-22,22.0,13.1,16.2,12.03,33.25992,126.48917,81.0,1.25
980,강정,2017-04-23,21.0,13.3,17.3,21.65,33.25992,126.48917,65.33333333333333,1.55
980,강정,2017-04-24,21.0,15.8,18.0,21.43,33.25992,126.48917,72.0,1.5
980,강정,2017-04-25,20.0,18.5,19.4,8.55,33.25992,126.48917,75.66666666666667,0.85
980,강정,2017-04-26,23.0,15.2,17.3,7.46,33.25992,126.48917,87.66666666666667,1.0
980,강정,2017-04-27,23.0,13.4,16.4,20.04,33.25992,126.48917,40.0,1.85
980,강정,2017-04-28,22.0,16.4,17.1,22.29,33.25992,126.48917,47.0,2.25
980,강정,2017-04-29,21.0,19.2,20.1,21.99,33.25992,126.48917,49.66666666666666,1.5
980,강정,2017-04-30,20.0,19.8,20.9,21.22,33.25992,126.48917,49.0,2.35
980,강정,2017-05-01,20.0,18.3,21.6,19.1,33.25992,126.48917,75.66666666666667,1.85
980,강정,2017-05-02,19.0,17.5,17.8,12.08,33.25992,126.48917,71.33333333333333,2.45
980,강정,2017-05-03,18.0,19.9,21.3,20.27,33.25992,126.48917,65.33333333333333,1.95
980,강정,2017-05-04,17.0,19.4,20.5,14.54,33.25992,126.48917,78.33333333333333,1.8
980,강정,2017-05-05,19.0,18.1,18.9,2.4,33.25992,126.48917,97.66666666666669,1.25
980,강정,2017-05-06,22.0,18.1,20.7,19.89,33.25992,126.48917,62.0,1.2
980,강정,2017-05-07,21.0,18.6,19.8,23.84,33.25992,126.48917,40.0,1.8
980,강정,2017-05-08,20.0,16.7,16.6,10.26,33.25992,126.48917,47.333333333333336,1.15
980,강정,2017-05-09,22.0,15.0,15.7,4.33,33.25992,126.48917,87.66666666666667,2.35
980,강정,2017-05-10,22.0,16.1,18.4,18.58,33.25992,126.48917,80.66666666666667,2.25
980,강정,2017-05-11,22.0,21.0,21.2,20.04,33.25992,126.48917,75.66666666666667,1.7000000000000002
980,강정,2017-05-12,24.0,17.9,19.2,4.08,33.25992,126.48917,92.33333333333331,0.85
980,강정,2017-05-13,23.0,17.8,20.7,22.34,33.25992,126.48917,83.0,1.25
980,강정,2017-05-14,22.0,17.4,21.8,23.45,33.25992,126.48917,69.33333333333333,1.0
980,강정,2017-05-15,21.0,16.8,19.7,18.08,33.25992,126.48917,58.333333333333336,1.2
980,강정,2017-05-16,20.0,17.9,19.7,14.45,33.25992,126.48917,49.333333333333336,1.45
980,강정,2017-05-17,20.0,18.9,22.0,21.61,33.25992,126.48917,51.66666666666666,1.65
980,강정,2017-05-18,19.0,18.9,22.9,21.28,33.25992,126.48917,50.66666666666666,1.35
980,강정,2017-05-19,19.0,19.4,22.5,20.95,33.25992,126.48917,51.0,1.3
980,강정,2017-05-20,18.0,19.1,22.0,15.45,33.25992,126.48917,62.66666666666666,1.3
980,강정,2017-05-21,18.0,20.1,21.9,12.83,33.25992,126.48917,65.66666666666667,1.4
980,강정,2017-05-22,17.0,19.5,21.9,20.46,33.25992,126.48917,73.33333333333333,1.55
980,강정,2017-05-23,17.0,19.6,20.6,6.84,33.25992,126.48917,86.66666666666667,0.95
980,강정,2017-05-24,18.0,19.1,21.1,5.78,33.25992,126.48917,93.66666666666669,0.65
980,강정,2017-05-25,18.0,21.8,23.3,20.92,33.25992,126.48917,57.0,1.65
980,강정,2017-05-26,17.0,18.1,22.1,24.4,33.25992,126.48917,46.333333333333336,1.65
980,강정,2017-05-27,16.0,16.2,21.8,23.22,33.25992,126.48917,59.0,1.35
980,강정,2017-05-28,15.0,18.7,22.8,21.42,33.25992,126.48917,49.0,1.25
980,강정,2019-07-13,27.0,20.4,22.7,,33.25992,126.48917,95.0,
980,강정,2019-07-15,19.0,22.9,27.1,,33.25992,126.48917,84.0,
980,강정,2019-07-16,16.0,23.8,26.9,,33.25992,126.48917,76.0,
980,강정,2019-07-17,14.0,24.1,25.0,,33.25992,126.48917,83.0,
980,강정,2019-07-25,25.0,25.4,26.9,,33.25992,126.48917,99.0,
980,강정,2019-07-26,24.0,25.7,27.3,,33.25992,126.48917,99.0,
980,강정,2019-07-27,23.0,25.9,26.9,,33.25992,126.48917,100.0,
980,강정,2019-07-28,24.0,26.7,29.0,,33.25992,126.48917,93.0,
980,강정,2019-07-29,22.0,27.0,29.1,,33.25992,126.48917,88.0,
980,강정,2019-07-30,21.0,27.3,29.0,,33.25992,126.48917,93.0,
980,강정,2019-07-31,20.0,27.7,30.6,,33.25992,126.48917,86.0,
980,강정,2019-08-01,17.0,27.5,30.0,,33.25992,126.48917,82.0,
980,강정,2019-08-02,14.0,27.3,30.7,,33.25992,126.48917,76.0,
980,강정,2019-09-13,25.0,23.6,24.8,,33.25992,126.48917,75.0,
980,강정,2019-09-14,23.0,23.6,25.9,,33.25992,126.48917,76.0,
980,강정,2019-09-15,21.0,24.2,26.5,,33.25992,126.48917,78.0,
980,강정,2019-09-16,19.0,24.1,27.2,,33.25992,126.48917,82.0,
980,강정,2019-09-17,17.0,23.5,26.3,,33.25992,126.48917,68.0,
980,강정,2019-09-18,15.0,23.2,25.8,,33.25992,126.48917,57.0,
980,강정,2019-10-08,26.0,19.8,20.6,,33.25992,126.48917,61.0,
980,강정,2019-10-10,22.0,17.7,19.2,,33.25992,126.48917,64.0,
980,강정,2019-10-11,21.0,19.8,20.9,,33.25992,126.48917,60.0,
980,강정,2019-10-12,19.0,19.9,20.8,,33.25992,126.48917,65.0,
980,강정,2019-10-13,18.0,17.9,19.6,,33.25992,126.48917,65.0,
980,강정,2019-10-14,17.0,18.3,19.9,,33.25992,126.48917,72.0,
980,강정,2019-10-15,16.0,18.1,19.3,,33.25992,126.48917,71.0,
980,강정,2019-10-16,16.0,17.7,19.8,,33.25992,126.48917,61.0,
980,강정,2019-10-17,15.0,18.4,19.4,,33.25992,126.48917,65.0,
980,강정,2020-04-20,26.0,15.2,16.9,,33.25992,126.48917,67.0,
980,강정,2020-04-21,23.0,12.8,14.7,,33.25992,126.48917,33.0,
980,강정,2020-04-22,21.0,9.4,13.5,,33.25992,126.48917,52.0,
980,강정,2020-04-23,20.0,10.0,13.8,,33.25992,126.48917,48.0,
980,강정,2020-04-24,19.0,11.1,15.2,,33.25992,126.48917,54.0,
980,강정,2020-04-25,18.0,13.7,16.9,,33.25992,126.48917,68.0,
980,강정,2020-04-26,17.0,13.6,18.7,,33.25992,126.48917,67.0,
980,강정,2020-04-27,17.0,14.1,18.6,,33.25992,126.48917,50.0,
980,강정,2020-04-28,16.0,14.3,17.8,,33.25992,126.48917,31.0,
980,강정,2020-04-29,14.0,14.3,18.6,,33.25992,126.48917,42.0,
980,강정,2020-05-10,25.0,15.9,18.7,,33.25992,126.48917,84.0,
980,강정,2020-05-11,24.0,18.7,21.0,,33.25992,126.48917,67.0,
980,강정,2020-05-12,21.0,18.6,21.6,,33.25992,126.48917,47.0,
980,강정,2020-05-13,18.0,17.6,21.4,,33.25992,126.48917,40.0,
980,강정,2020-05-14,15.0,19.4,20.7,,33.25992,126.48917,45.0,
980,강정,2020-05-19,27.0,15.3,18.4,,33.25992,126.48917,71.0,
980,강정,2020-05-20,24.0,15.6,20.5,,33.25992,126.48917,73.0,
980,강정,2020-05-21,21.0,16.4,19.2,,33.25992,126.48917,77.0,
980,강정,2020-05-22,19.0,17.8,21.6,,33.25992,126.48917,72.0,
980,강정,2020-05-23,17.0,19.2,22.8,,33.25992,126.48917,75.0,
980,강정,2020-05-24,15.0,21.4,24.8,,33.25992,126.48917,76.0,
980,강정,2020-08-13,25.0,28.2,29.9,,33.25992,126.48917,90.0,
980,강정,2020-08-14,24.0,28.1,29.4,,33.25992,126.48917,88.0,
980,강정,2020-08-15,23.0,28.1,30.7,,33.25992,126.48917,83.0,
980,강정,2020-08-16,19.0,28.3,31.0,,33.25992,126.48917,84.0,
980,강정,2020-08-17,16.0,27.8,30.1,,33.25992,126.48917,80.0,
980,강정,2020-08-18,14.0,27.7,31.2,,33.25992,126.48917,78.0,
980,강정,2020-09-24,26.0,21.2,22.0,,33.25992,126.48917,80.0,
980,강정,2020-09-25,24.0,21.6,23.2,,33.25992,126.48917,76.0,
980,강정,2020-09-26,22.0,20.5,22.1,,33.25992,126.48917,76.0,
980,강정,2020-09-27,21.0,20.9,22.0,,33.25992,126.48917,72.0,
980,강정,2020-09-28,18.0,20.7,21.5,,33.25992,126.48917,64.0,
980,강정,2020-09-29,17.0,19.5,21.6,,33.25992,126.48917,66.0,
980,강정,2020-09-30,15.0,20.0,22.0,,33.25992,126.48917,68.0,
980,강정,2021-04-13,26.0,14.7,17.3,,33.25992,126.48917,74.0,
980,강정,2021-04-14,23.0,11.3,16.2,,33.25992,126.48917,56.0,
980,강정,2021-04-15,21.0,12.4,15.3,,33.25992,126.48917,57.0,
980,강정,2021-04-16,20.0,15.7,18.5,,33.25992,126.48917,75.0,
980,강정,2021-04-17,18.0,13.5,17.4,,33.25992,126.48917,51.0,
980,강정,2021-04-18,16.0,13.0,15.8,,33.25992,126.48917,38.0,
980,강정,2021-04-19,14.0,13.5,16.9,,33.25992,126.48917,42.0,
980,강정,2021-05-20,26.0,17.5,19.8,,33.25992,126.48917,96.0,
980,강정,2021-05-21,22.0,18.3,20.9,,33.25992,126.48917,71.0,
980,강정,2021-05-22,20.0,18.6,22.6,,33.25992,126.48917,75.0,
980,강정,2021-05-23,17.0,19.8,23.4,,33.25992,126.48917,69.0,
980,강정,2021-05-24,20.0,19.2,24.1,,33.25992,126.48917,74.0,
980,강정,2021-05-25,17.0,18.8,22.2,,33.25992,126.48917,60.0,
980,강정,2021-05-26,15.0,17.2,19.3,,33.25992,126.48917,69.0,
980,강정,2021-06-11,25.0,22.1,23.0,,33.25992,126.48917,100.0,
980,강정,2021-06-12,23.0,22.8,25.6,,33.25992,126.48917,96.0,
980,강정,2021-06-13,21.0,21.6,27.1,,33.25992,126.48917,94.0,
980,강정,2021-06-14,19.0,22.1,26.0,,33.25992,126.48917,88.0,
980,강정,2021-06-15,17.0,22.3,23.2,,33.25992,126.48917,98.0,
980,강정,2021-06-16,23.0,23.1,23.9,,33.25992,126.48917,82.0,
980,강정,2021-06-17,21.0,22.0,23.7,,33.25992,126.48917,89.0,
980,강정,2021-06-18,20.0,21.8,23.6,,33.25992,126.48917,98.0,
980,강정,2021-06-19,22.0,22.8,26.5,,33.25992,126.48917,81.0,
980,강정,2021-06-20,19.0,22.7,26.1,,33.25992,126.48917,63.0,
980,강정,2021-06-21,16.0,23.9,25.9,,33.25992,126.48917,58.0,
980,강정,2021-06-22,14.0,23.4,26.9,,33.25992,126.48917,82.0,
980,강정,2021-07-19,25.0,27.0,28.2,,33.25992,126.48917,79.0,
980,강정,2021-07-20,22.0,28.8,28.5,,33.25992,126.48917,61.0,
980,강정,2021-07-21,19.0,28.4,28.6,,33.25992,126.48917,66.0,
980,강정,2021-07-22,16.0,28.4,29.1,,33.25992,126.48917,68.0,
980,강정,2021-07-23,14.0,27.8,27.7,,33.25992,126.48917,70.0,
980,강정,2021-09-23,26.0,23.8,25.6,,33.25992,126.48917,79.0,
980,강정,2021-09-24,23.0,22.5,23.9,,33.25992,126.48917,68.0,
980,강정,2021-09-25,21.0,24.1,23.9,,33.25992,126.48917,70.0,
980,강정,2021-09-26,19.0,23.8,24.2,,33.25992,126.48917,70.0,
980,강정,2021-09-27,18.0,23.9,24.5,,33.25992,126.48917,69.0,
980,강정,2021-09-28,17.0,25.1,25.3,,33.25992,126.48917,76.0,
980,강정,2021-09-29,17.0,25.7,26.5,,33.25992,126.48917,86.0,
980,강정,2021-09-30,23.0,23.7,26.5,,33.25992,126.48917,85.0,
980,강정,2021-10-01,21.0,22.9,25.1,,33.25992,126.48917,71.0,
980,강정,2021-10-02,19.0,21.9,24.5,,33.25992,126.48917,75.0,
980,강정,2021-10-03,18.0,23.7,23.8,,33.25992,126.48917,65.0,
980,강정,2021-10-04,17.0,25.1,25.8,,33.25992,126.48917,74.0,
980,강정,2021-10-05,16.0,25.0,26.2,,33.25992,126.48917,75.0,
980,강정,2021-10-06,15.0,25.0,25.4,,33.25992,126.48917,69.0,
980,강정,2022-01-24,25.0,9.6,8.7,,33.25992,126.48917,71.0,
980,강정,2022-01-25,24.0,8.9,9.0,,33.25992,126.48917,80.0,
980,강정,2022-01-26,24.0,8.4,9.2,,33.25992,126.48917,77.0,
980,강정,2022-01-27,23.0,8.0,9.3,,33.25992,126.48917,72.0,
980,강정,2022-01-28,23.0,7.3,9.0,,33.25992,126.48917,67.0,
980,강정,2022-01-29,22.0,6.9,8.9,,33.25992,126.48917,65.0,
980,강정,2022-01-30,22.0,6.1,8.6,,33.25992,126.48917,48.0,
980,강정,2022-01-31,21.0,5.5,6.5,,33.25992,126.48917,47.0,
980,강정,2022-02-01,21.0,5.4,6.4,,33.25992,126.48917,54.0,
980,강정,2022-02-02,20.0,4.9,6.1,,33.25992,126.48917,59.0,
980,강정,2022-02-03,21.0,5.3,7.1,,33.25992,126.48917,51.0,
980,강정,2022-02-04,19.0,4.3,5.6,,33.25992,126.48917,47.0,
980,강정,2022-02-05,18.0,2.0,5.0,,33.25992,126.48917,55.0,
980,강정,2022-02-06,18.0,2.9,5.2,,33.25992,126.48917,53.0,
980,강정,2022-02-08,20.0,4.6,6.8,,33.25992,126.48917,74.0,
980,강정,2022-02-09,20.0,5.9,6.2,,33.25992,126.48917,72.0,
980,강정,2022-02-11,23.0,7.1,7.2,,33.25992,126.48917,49.0,
980,강정,2022-02-12,22.0,9.0,7.7,,33.25992,126.48917,47.0,
980,강정,2022-02-13,22.0,9.4,8.5,,33.25992,126.48917,69.0,
980,강정,2022-02-14,22.0,9.3,8.9,,33.25992,126.48917,56.0,
980,강정,2022-02-15,21.0,3.8,7.1,,33.25992,126.48917,52.0,
980,강정,2022-02-16,20.0,1.1,5.2,,33.25992,126.48917,55.0,
980,강정,2022-02-17,20.0,1.3,4.6,,33.25992,126.48917,52.0,
980,강정,2022-02-18,19.0,5.3,5.3,,33.25992,126.48917,66.0,
980,강정,2022-02-19,24.0,5.6,7.5,,33.25992,126.48917,71.0,
980,강정,2022-02-20,23.0,0.5,4.9,,33.25992,126.48917,58.0,
980,강정,2022-02-21,22.0,3.6,4.8,,33.25992,126.48917,49.0,
980,강정,2022-02-23,21.0,3.2,5.9,,33.25992,126.48917,60.0,
980,강정,2022-02-24,20.0,3.1,6.3,,33.25992,126.48917,64.0,
980,강정,2022-02-25,20.0,5.0,6.8,,33.25992,126.48917,61.0,
980,강정,2022-02-26,19.0,8.0,7.9,,33.25992,126.48917,57.0,
980,강정,2022-02-27,19.0,7.6,8.9,,33.25992,126.48917,45.0,
980,강정,2022-02-28,18.0,9.1,7.8,,33.25992,126.48917,60.0,
980,강정,2022-03-01,18.0,13.5,11.6,,33.25992,126.48917,58.0,
980,강정,2022-03-02,18.0,6.9,9.0,,33.25992,126.48917,38.0,
980,강정,2022-03-03,17.0,7.7,8.4,,33.25992,126.48917,56.0,
980,강정,2022-03-04,16.0,9.9,10.1,,33.25992,126.48917,62.0,
980,강정,2022-03-05,16.0,10.8,9.6,,33.25992,126.48917,32.0,
980,강정,2022-03-06,15.0,6.2,9.1,,33.25992,126.48917,47.0,
980,강정,2022-03-28,25.0,11.8,13.9,,33.25992,126.48917,50.0,
980,강정,2022-03-29,23.0,12.6,14.3,,33.25992,126.48917,58.0,
980,강정,2022-03-30,22.0,17.2,16.0,,33.25992,126.48917,85.0,
980,강정,2022-03-31,22.0,15.1,16.4,,33.25992,126.48917,71.0,
980,강정,2022-04-01,21.0,10.4,13.8,,33.25992,126.48917,58.0,
980,강정,2022-04-02,20.0,9.6,14.0,,33.25992,126.48917,50.0,
980,강정,2022-04-03,19.0,9.9,14.1,,33.25992,126.48917,53.0,
980,강정,2022-04-04,18.0,11.5,14.6,,33.25992,126.48917,45.0,
980,강정,2022-04-05,17.0,11.8,13.5,,33.25992,126.48917,41.0,
980,강정,2022-04-06,16.0,13.6,15.3,,33.25992,126.48917,50.0,
980,강정,2022-04-07,16.0,14.5,16.0,,33.25992,126.48917,58.0,
980,강정,2022-04-08,16.0,14.5,16.7,,33.25992,126.48917,42.0,
980,강정,2022-04-09,15.0,14.8,17.0,,33.25992,126.48917,48.0,
980,강정,2022-04-14,27.0,14.9,16.9,,33.25992,126.48917,81.0,
980,강정,2022-04-15,24.0,15.2,18.7,,33.25992,126.48917,58.0,
980,강정,2022-04-16,22.0,13.1,17.4,,33.25992,126.48917,55.0,
980,강정,2022-04-17,20.0,13.9,17.7,,33.25992,126.48917,47.0,
980,강정,2022-04-18,18.0,15.1,17.3,,33.25992,126.48917,49.0,
980,강정,2022-04-19,17.0,15.4,18.1,,33.25992,126.48917,43.0,
980,강정,2022-04-20,15.0,15.8,18.6,,33.25992,126.48917,46.0,
980,강정,2022-05-01,26.0,14.6,18.4,,33.25992,126.48917,40.0,
980,강정,2022-05-02,23.0,16.8,18.0,,33.25992,126.48917,32.0,
